time,panda_joint1,panda_joint2,panda_joint3,panda_joint4,panda_joint5,panda_joint6,panda_joint7
7300117504.000000,0.339077,0.512443,0.239742,-1.234454,0.082758,1.778950,0.708569
7333299712.000000,0.339082,0.512462,0.239751,-1.234457,0.082761,1.778951,0.708574
7366584320.000000,0.339049,0.512456,0.239730,-1.234457,0.082758,1.778946,0.708574
7399882240.000000,0.339055,0.512433,0.239730,-1.234446,0.082759,1.778956,0.708575
7433398272.000000,0.339050,0.512441,0.239733,-1.234448,0.082756,1.778954,0.708573
7466648064.000000,0.339066,0.512450,0.239743,-1.234445,0.082761,1.778954,0.708573
7499919360.000000,0.339068,0.512451,0.239741,-1.234454,0.082763,1.778950,0.708576
7533446400.000000,0.339075,0.512436,0.239750,-1.234446,0.082759,1.778951,0.708565
7566614784.000000,0.339075,0.512436,0.239750,-1.234446,0.082759,1.778951,0.708565
7600276992.000000,0.339061,0.512443,0.239743,-1.234442,0.082762,1.778958,0.708569
7633479680.000000,0.339026,0.512462,0.239717,-1.234456,0.082761,1.778951,0.708574
7666910208.000000,0.339042,0.512446,0.239730,-1.234446,0.082758,1.778952,0.708571
7699862784.000000,0.339082,0.512433,0.239743,-1.234448,0.082759,1.778948,0.708569
7733317376.000000,0.339079,0.512441,0.239747,-1.234448,0.082758,1.778951,0.708570
7766678784.000000,0.339051,0.512451,0.239736,-1.234448,0.082759,1.778952,0.708574
7800166656.000000,0.339037,0.512446,0.239730,-1.234457,0.082760,1.778952,0.708572
7833583360.000000,0.339064,0.512428,0.239738,-1.234443,0.082761,1.778951,0.708569
7866733824.000000,0.339077,0.512443,0.239743,-1.234451,0.082756,1.778949,0.708568
7899980032.000000,0.339067,0.512456,0.239740,-1.234454,0.082761,1.778948,0.708569
7933563648.000000,0.339058,0.512438,0.239740,-1.234451,0.082761,1.778954,0.708574
7966578688.000000,0.339058,0.512435,0.239740,-1.234451,0.082761,1.778954,0.708577
7999935488.000000,0.339056,0.512449,0.239737,-1.234454,0.082761,1.778948,0.708575
8033212672.000000,0.339059,0.512454,0.239738,-1.234454,0.082760,1.778952,0.708574
8066749696.000000,0.339074,0.512443,0.239745,-1.234448,0.082761,1.778952,0.708569
8100104448.000000,0.339066,0.512441,0.239743,-1.234446,0.082761,1.778950,0.708573
8133275648.000000,0.339043,0.512446,0.239735,-1.234451,0.082761,1.778950,0.708570
8166632704.000000,0.339044,0.512449,0.239730,-1.234446,0.082759,1.778949,0.708577
8200181760.000000,0.339064,0.512440,0.239738,-1.234451,0.082760,1.778953,0.708577
8233292032.000000,0.339072,0.512443,0.239740,-1.234454,0.082759,1.778954,0.708574
8266646272.000000,0.339059,0.512448,0.239741,-1.234451,0.082761,1.778947,0.708571
8299974400.000000,0.339047,0.512451,0.239735,-1.234446,0.082757,1.778953,0.708567
8333322496.000000,0.339053,0.512441,0.239740,-1.234451,0.082757,1.778951,0.708571
8366637312.000000,0.339064,0.512441,0.239738,-1.234448,0.082759,1.778954,0.708568
8400034816.000000,0.339064,0.512451,0.239738,-1.234451,0.082763,1.778951,0.708571
8433308160.000000,0.339061,0.512446,0.239738,-1.234453,0.082760,1.778950,0.708573
8466569728.000000,0.339061,0.512438,0.239738,-1.234446,0.082760,1.778952,0.708573
8499875840.000000,0.339050,0.512449,0.239735,-1.234451,0.082760,1.778954,0.708570
8533209344.000000,0.339056,0.512444,0.239735,-1.234448,0.082760,1.778952,0.708569
8566686976.000000,0.339066,0.512441,0.239738,-1.234451,0.082760,1.778954,0.708572
8600162816.000000,0.339070,0.512438,0.239740,-1.234451,0.082760,1.778954,0.708578
8633564160.000000,0.339056,0.512446,0.239740,-1.234446,0.082760,1.778952,0.708573
8666792704.000000,0.339050,0.512451,0.239735,-1.234445,0.082761,1.778949,0.708571
8700300800.000000,0.339058,0.512444,0.239738,-1.234451,0.082760,1.778950,0.708570
8733334784.000000,0.339066,0.512446,0.239740,-1.234448,0.082760,1.778952,0.708574
8766540544.000000,0.339063,0.512446,0.239738,-1.234448,0.082760,1.778953,0.708571
8799922688.000000,0.339056,0.512444,0.239738,-1.234452,0.082760,1.778949,0.708571
8833439488.000000,0.339053,0.512444,0.239738,-1.234451,0.082760,1.778949,0.708574
